property_id,address,neighborhood,property_type,assessed_value,bedrooms,bathrooms,square_feet,year_built,lot_size,assessment_year
T1325,425 Sample Street,The Beaches,Detached,1184819,2,2,4841,1995,19250,2024
T1326,426 Sample Street,Leslieville,Semi-Detached,930622,3,3,4739,1996,19300,2024
T1327,427 Sample Street,King West,Townhouse,891638,4,1,4230,1997,19350,2024
T1328,428 Sample Street,Liberty Village,Condo,879202,1,2,5076,1998,19400,2024
T1329,429 Sample Street,Corktown,Condo Townhouse,1308529,2,3,4142,1999,19450,2024
T1330,430 Sample Street,Downtown,Detached,891873,3,1,4891,2000,19500,2024
T1331,431 Sample Street,Midtown,Semi-Detached,923460,4,2,4789,2001,19550,2024
T1332,432 Sample Street,North York,Townhouse,976185,1,3,4280,2002,19600,2024
T1333,433 Sample Street,Etobicoke,Condo,910045,2,1,5126,2003,19650,2024
T1334,434 Sample Street,Scarborough,Condo Townhouse,1121017,3,2,4192,2004,19700,2024
T1335,435 Sample Street,The Beaches,Detached,1194819,4,3,4941,2005,19750,2024
T1336,436 Sample Street,Leslieville,Semi-Detached,940622,1,1,4839,2006,19800,2024
T1337,437 Sample Street,King West,Townhouse,901638,2,2,4330,2007,19850,2024
T1338,438 Sample Street,Liberty Village,Condo,889202,3,3,5176,2008,19900,2024
T1339,439 Sample Street,Corktown,Condo Townhouse,1318529,4,1,4242,2009,19950,2024
T1340,440 Sample Street,Downtown,Detached,901873,1,2,4991,2010,20000,2024
T1341,441 Sample Street,Midtown,Semi-Detached,933460,2,3,4889,2011,20050,2024
T1342,442 Sample Street,North York,Townhouse,986185,3,1,4380,2012,20100,2024
T1343,443 Sample Street,Etobicoke,Condo,920045,4,2,5226,2013,20150,2024
T1344,444 Sample Street,Scarborough,Condo Townhouse,1131017,1,3,4292,2014,20200,2024
T1345,445 Sample Street,The Beaches,Detached,1204819,2,1,5041,2015,20250,2024
T1346,446 Sample Street,Leslieville,Semi-Detached,950622,3,2,4939,2016,20300,2024
T1347,447 Sample Street,King West,Townhouse,911638,4,3,4430,2017,20350,2024
T1348,448 Sample Street,Liberty Village,Condo,899202,1,1,5276,2018,20400,2024
T1349,449 Sample Street,Corktown,Condo Townhouse,1328529,2,2,4342,2019,20450,2024
T1350,450 Sample Street,Downtown,Detached,911873,3,3,5091,1950,20500,2024
T1351,451 Sample Street,Midtown,Semi-Detached,943460,4,1,4989,1951,20550,2024
T1352,452 Sample Street,North York,Townhouse,996185,1,2,4480,1952,20600,2024
T1353,453 Sample Street,Etobicoke,Condo,930045,2,3,5326,1953,20650,2024
T1354,454 Sample Street,Scarborough,Condo Townhouse,1141017,3,1,4392,1954,20700,2024
T1355,455 Sample Street,The Beaches,Detached,1214819,4,2,5141,1955,20750,2024
T1356,456 Sample Street,Leslieville,Semi-Detached,960622,1,3,5039,1956,20800,2024
T1357,457 Sample Street,King West,Townhouse,921638,2,1,4530,1957,20850,2024
T1358,458 Sample Street,Liberty Village,Condo,909202,3,2,5376,1958,20900,2024
T1359,459 Sample Street,Corktown,Condo Townhouse,1338529,4,3,4442,1959,20950,2024
T1360,460 Sample Street,Downtown,Detached,921873,1,1,5191,1960,21000,2024
T1361,461 Sample Street,Midtown,Semi-Detached,953460,2,2,5089,1961,21050,2024
T1362,462 Sample Street,North York,Townhouse,1006185,3,3,4580,1962,21100,2024
T1363,463 Sample Street,Etobicoke,Condo,940045,4,1,5426,1963,21150,2024
T1364,464 Sample Street,Scarborough,Condo Townhouse,1151017,1,2,4492,1964,21200,2024
T1365,465 Sample Street,The Beaches,Detached,1224819,2,3,5241,1965,21250,2024
T1366,466 Sample Street,Leslieville,Semi-Detached,970622,3,1,5139,1966,21300,2024
T1367,467 Sample Street,King West,Townhouse,931638,4,2,4630,1967,21350,2024
T1368,468 Sample Street,Liberty Village,Condo,919202,1,3,5476,1968,21400,2024
T1369,469 Sample Street,Corktown,Condo Townhouse,1348529,2,1,4542,1969,21450,2024
T1370,470 Sample Street,Downtown,Detached,931873,3,2,5291,1970,21500,2024
T1371,471 Sample Street,Midtown,Semi-Detached,963460,4,3,5189,1971,21550,2024
T1372,472 Sample Street,North York,Townhouse,1016185,1,1,4680,1972,21600,2024
T1373,473 Sample Street,Etobicoke,Condo,950045,2,2,5526,1973,21650,2024
T1374,474 Sample Street,Scarborough,Condo Townhouse,1161017,3,3,4592,1974,21700,2024
T1375,475 Sample Street,The Beaches,Detached,1234819,4,1,5341,1975,21750,2024
T1376,476 Sample Street,Leslieville,Semi-Detached,980622,1,2,5239,1976,21800,2024
T1377,477 Sample Street,King West,Townhouse,941638,2,3,4730,1977,21850,2024
T1378,478 Sample Street,Liberty Village,Condo,929202,3,1,5576,1978,21900,2024
T1379,479 Sample Street,Corktown,Condo Townhouse,1358529,4,2,4642,1979,21950,2024
T1380,480 Sample Street,Downtown,Detached,941873,1,3,5391,1980,22000,2024
T1381,481 Sample Street,Midtown,Semi-Detached,973460,2,1,5289,1981,22050,2024
T1382,482 Sample Street,North York,Townhouse,1026185,3,2,4780,1982,22100,2024
T1383,483 Sample Street,Etobicoke,Condo,960045,4,3,5626,1983,22150,2024
T1384,484 Sample Street,Scarborough,Condo Townhouse,1171017,1,1,4692,1984,22200,2024
T1385,485 Sample Street,The Beaches,Detached,1244819,2,2,5441,1985,22250,2024
T1386,486 Sample Street,Leslieville,Semi-Detached,990622,3,3,5339,1986,22300,2024
T1387,487 Sample Street,King West,Townhouse,951638,4,1,4830,1987,22350,2024
T1388,488 Sample Street,Liberty Village,Condo,939202,1,2,5676,1988,22400,2024
T1389,489 Sample Street,Corktown,Condo Townhouse,1368529,2,3,4742,1989,22450,2024
T1390,490 Sample Street,Downtown,Detached,951873,3,1,5491,1990,22500,2024
T1391,491 Sample Street,Midtown,Semi-Detached,983460,4,2,5389,1991,22550,2024
T1392,492 Sample Street,North York,Townhouse,1036185,1,3,4880,1992,22600,2024
T1393,493 Sample Street,Etobicoke,Condo,970045,2,1,5726,1993,22650,2024
T1394,494 Sample Street,Scarborough,Condo Townhouse,1181017,3,2,4792,1994,22700,2024
T1395,495 Sample Street,The Beaches,Detached,1254819,4,3,5541,1995,22750,2024
T1396,496 Sample Street,Leslieville,Semi-Detached,1000622,1,1,5439,1996,22800,2024
T1397,497 Sample Street,King West,Townhouse,961638,2,2,4930,1997,22850,2024
T1398,498 Sample Street,Liberty Village,Condo,949202,3,3,5776,1998,22900,2024
T1399,499 Sample Street,Corktown,Condo Townhouse,1378529,4,1,4842,1999,22950,2024
T1400,500 Sample Street,Downtown,Detached,961873,1,2,5591,2000,23000,2024
T1401,501 Sample Street,Midtown,Semi-Detached,993460,2,3,5489,2001,23050,2024
T1402,502 Sample Street,North York,Townhouse,1046185,3,1,4980,2002,23100,2024
T1403,503 Sample Street,Etobicoke,Condo,980045,4,2,5826,2003,23150,2024
T1404,504 Sample Street,Scarborough,Condo Townhouse,1191017,1,3,4892,2004,23200,2024
T1405,505 Sample Street,The Beaches,Detached,1264819,2,1,5641,2005,23250,2024
T1406,506 Sample Street,Leslieville,Semi-Detached,1010622,3,2,5539,2006,23300,2024
T1407,507 Sample Street,King West,Townhouse,971638,4,3,5030,2007,23350,2024
T1408,508 Sample Street,Liberty Village,Condo,959202,1,1,5876,2008,23400,2024
T1409,509 Sample Street,Corktown,Condo Townhouse,1388529,2,2,4942,2009,23450,2024
T1410,510 Sample Street,Downtown,Detached,971873,3,3,5691,2010,23500,2024
T1411,511 Sample Street,Midtown,Semi-Detached,1003460,4,1,5589,2011,23550,2024
T1412,512 Sample Street,North York,Townhouse,1056185,1,2,5080,2012,23600,2024
T1413,513 Sample Street,Etobicoke,Condo,990045,2,3,5926,2013,23650,2024
T1414,514 Sample Street,Scarborough,Condo Townhouse,1201017,3,1,4992,2014,23700,2024
T1415,515 Sample Street,The Beaches,Detached,1274819,4,2,5741,2015,23750,2024
T1416,516 Sample Street,Leslieville,Semi-Detached,1020622,1,3,5639,2016,23800,2024
T1417,517 Sample Street,King West,Townhouse,981638,2,1,5130,2017,23850,2024
T1418,518 Sample Street,Liberty Village,Condo,969202,3,2,5976,2018,23900,2024
T1419,519 Sample Street,Corktown,Condo Townhouse,1398529,4,3,5042,2019,23950,2024
T1420,520 Sample Street,Downtown,Detached,981873,1,1,5791,1950,24000,2024
T1421,521 Sample Street,Midtown,Semi-Detached,1013460,2,2,5689,1951,24050,2024
T1422,522 Sample Street,North York,Townhouse,1066185,3,3,5180,1952,24100,2024
T1423,523 Sample Street,Etobicoke,Condo,1000045,4,1,6026,1953,24150,2024
T1424,524 Sample Street,Scarborough,Condo Townhouse,1211017,1,2,5092,1954,24200,2024
T1425,525 Sample Street,The Beaches,Detached,1284819,2,3,5841,1955,24250,2024
T1426,526 Sample Street,Leslieville,Semi-Detached,1030622,3,1,5739,1956,24300,2024
T1427,527 Sample Street,King West,Townhouse,991638,4,2,5230,1957,24350,2024
T1428,528 Sample Street,Liberty Village,Condo,979202,1,3,6076,1958,24400,2024
T1429,529 Sample Street,Corktown,Condo Townhouse,1408529,2,1,5142,1959,24450,2024
T1430,530 Sample Street,Downtown,Detached,991873,3,2,5891,1960,24500,2024
T1431,531 Sample Street,Midtown,Semi-Detached,1023460,4,3,5789,1961,24550,2024
T1432,532 Sample Street,North York,Townhouse,1076185,1,1,5280,1962,24600,2024
T1433,533 Sample Street,Etobicoke,Condo,1010045,2,2,6126,1963,24650,2024
T1434,534 Sample Street,Scarborough,Condo Townhouse,1221017,3,3,5192,1964,24700,2024
T1435,535 Sample Street,The Beaches,Detached,1294819,4,1,5941,1965,24750,2024
T1436,536 Sample Street,Leslieville,Semi-Detached,1040622,1,2,5839,1966,24800,2024
T1437,537 Sample Street,King West,Townhouse,1001638,2,3,5330,1967,24850,2024
T1438,538 Sample Street,Liberty Village,Condo,989202,3,1,6176,1968,24900,2024
T1439,539 Sample Street,Corktown,Condo Townhouse,1418529,4,2,5242,1969,24950,2024
T1440,540 Sample Street,Downtown,Detached,1001873,1,3,5991,1970,25000,2024
T1441,541 Sample Street,Midtown,Semi-Detached,1033460,2,1,5889,1971,25050,2024
T1442,542 Sample Street,North York,Townhouse,1086185,3,2,5380,1972,25100,2024
T1443,543 Sample Street,Etobicoke,Condo,1020045,4,3,6226,1973,25150,2024
T1444,544 Sample Street,Scarborough,Condo Townhouse,1231017,1,1,5292,1974,25200,2024
T1445,545 Sample Street,The Beaches,Detached,1304819,2,2,6041,1975,25250,2024
T1446,546 Sample Street,Leslieville,Semi-Detached,1050622,3,3,5939,1976,25300,2024
T1447,547 Sample Street,King West,Townhouse,1011638,4,1,5430,1977,25350,2024
T1448,548 Sample Street,Liberty Village,Condo,999202,1,2,6276,1978,25400,2024
T1449,549 Sample Street,Corktown,Condo Townhouse,1428529,2,3,5342,1979,25450,2024
T1450,550 Sample Street,Downtown,Detached,1011873,3,1,6091,1980,25500,2024
T1451,551 Sample Street,Midtown,Semi-Detached,1043460,4,2,5989,1981,25550,2024
T1452,552 Sample Street,North York,Townhouse,1096185,1,3,5480,1982,25600,2024
T1453,553 Sample Street,Etobicoke,Condo,1030045,2,1,6326,1983,25650,2024
T1454,554 Sample Street,Scarborough,Condo Townhouse,1241017,3,2,5392,1984,25700,2024
T1455,555 Sample Street,The Beaches,Detached,1314819,4,3,6141,1985,25750,2024
T1456,556 Sample Street,Leslieville,Semi-Detached,1060622,1,1,6039,1986,25800,2024
T1457,557 Sample Street,King West,Townhouse,1021638,2,2,5530,1987,25850,2024
T1458,558 Sample Street,Liberty Village,Condo,1009202,3,3,6376,1988,25900,2024
T1459,559 Sample Street,Corktown,Condo Townhouse,1438529,4,1,5442,1989,25950,2024
T1460,560 Sample Street,Downtown,Detached,1021873,1,2,6191,1990,26000,2024
T1461,561 Sample Street,Midtown,Semi-Detached,1053460,2,3,6089,1991,26050,2024
T1462,562 Sample Street,North York,Townhouse,1106185,3,1,5580,1992,26100,2024
T1463,563 Sample Street,Etobicoke,Condo,1040045,4,2,6426,1993,26150,2024
T1464,564 Sample Street,Scarborough,Condo Townhouse,1251017,1,3,5492,1994,26200,2024
T1465,565 Sample Street,The Beaches,Detached,1324819,2,1,6241,1995,26250,2024
T1466,566 Sample Street,Leslieville,Semi-Detached,1070622,3,2,6139,1996,26300,2024
T1467,567 Sample Street,King West,Townhouse,1031638,4,3,5630,1997,26350,2024
T1468,568 Sample Street,Liberty Village,Condo,1019202,1,1,6476,1998,26400,2024
T1469,569 Sample Street,Corktown,Condo Townhouse,1448529,2,2,5542,1999,26450,2024
T1470,570 Sample Street,Downtown,Detached,1031873,3,3,6291,2000,26500,2024
T1471,571 Sample Street,Midtown,Semi-Detached,1063460,4,1,6189,2001,26550,2024
T1472,572 Sample Street,North York,Townhouse,1116185,1,2,5680,2002,26600,2024
T1473,573 Sample Street,Etobicoke,Condo,1050045,2,3,6526,2003,26650,2024
T1474,574 Sample Street,Scarborough,Condo Townhouse,1261017,3,1,5592,2004,26700,2024
T1475,575 Sample Street,The Beaches,Detached,1334819,4,2,6341,2005,26750,2024
T1476,576 Sample Street,Leslieville,Semi-Detached,1080622,1,3,6239,2006,26800,2024
T1477,577 Sample Street,King West,Townhouse,1041638,2,1,5730,2007,26850,2024
T1478,578 Sample Street,Liberty Village,Condo,1029202,3,2,6576,2008,26900,2024
T1479,579 Sample Street,Corktown,Condo Townhouse,1458529,4,3,5642,2009,26950,2024
T1480,580 Sample Street,Downtown,Detached,1041873,1,1,6391,2010,27000,2024
T1481,581 Sample Street,Midtown,Semi-Detached,1073460,2,2,6289,2011,27050,2024
T1482,582 Sample Street,North York,Townhouse,1126185,3,3,5780,2012,27100,2024
T1483,583 Sample Street,Etobicoke,Condo,1060045,4,1,6626,2013,27150,2024
T1484,584 Sample Street,Scarborough,Condo Townhouse,1271017,1,2,5692,2014,27200,2024
T1485,585 Sample Street,The Beaches,Detached,1344819,2,3,6441,2015,27250,2024
T1486,586 Sample Street,Leslieville,Semi-Detached,1090622,3,1,6339,2016,27300,2024
T1487,587 Sample Street,King West,Townhouse,1051638,4,2,5830,2017,27350,2024
T1488,588 Sample Street,Liberty Village,Condo,1039202,1,3,6676,2018,27400,2024
T1489,589 Sample Street,Corktown,Condo Townhouse,1468529,2,1,5742,2019,27450,2024
T1490,590 Sample Street,Downtown,Detached,1051873,3,2,6491,1950,27500,2024
T1491,591 Sample Street,Midtown,Semi-Detached,1083460,4,3,6389,1951,27550,2024
T1492,592 Sample Street,North York,Townhouse,1136185,1,1,5880,1952,27600,2024
T1493,593 Sample Street,Etobicoke,Condo,1070045,2,2,6726,1953,27650,2024
T1494,594 Sample Street,Scarborough,Condo Townhouse,1281017,3,3,5792,1954,27700,2024
T1495,595 Sample Street,The Beaches,Detached,1354819,4,1,6541,1955,27750,2024
T1496,596 Sample Street,Leslieville,Semi-Detached,1100622,1,2,6439,1956,27800,2024
T1497,597 Sample Street,King West,Townhouse,1061638,2,3,5930,1957,27850,2024
T1498,598 Sample Street,Liberty Village,Condo,1049202,3,1,6776,1958,27900,2024
T1499,599 Sample Street,Corktown,Condo Townhouse,1478529,4,2,5842,1959,27950,2024
