property_id,address,neighborhood,property_type,assessed_value,bedrooms,bathrooms,square_feet,year_built,lot_size,assessment_year
T1324,424 Sample Street,Scarborough,Condo Townhouse,965326,1,1,4398,1994,19200,2024
T1325,425 Sample Street,The Beaches,Detached,1142323,2,2,4512,1995,19250,2024
T1326,426 Sample Street,Leslieville,Semi-Detached,1104708,3,3,4315,1996,19300,2024
T1327,427 Sample Street,King West,Townhouse,1080376,4,1,4582,1997,19350,2024
T1328,428 Sample Street,Liberty Village,Condo,958421,1,2,4210,1998,19400,2024
T1329,429 Sample Street,Corktown,Condo Townhouse,957026,2,3,4448,1999,19450,2024
T1330,430 Sample Street,Downtown,Detached,1302400,3,1,4562,2000,19500,2024
T1331,431 Sample Street,Midtown,Semi-Detached,976638,4,2,4365,2001,19550,2024
T1332,432 Sample Street,North York,Townhouse,1230714,1,3,4632,2002,19600,2024
T1333,433 Sample Street,Etobicoke,Condo,1294557,2,1,4260,2003,19650,2024
T1334,434 Sample Street,Scarborough,Condo Townhouse,975326,3,2,4498,2004,19700,2024
T1335,435 Sample Street,The Beaches,Detached,1152323,4,3,4612,2005,19750,2024
T1336,436 Sample Street,Leslieville,Semi-Detached,1114708,1,1,4415,2006,19800,2024
T1337,437 Sample Street,King West,Townhouse,1090376,2,2,4682,2007,19850,2024
T1338,438 Sample Street,Liberty Village,Condo,968421,3,3,4310,2008,19900,2024
T1339,439 Sample Street,Corktown,Condo Townhouse,967026,4,1,4548,2009,19950,2024
T1340,440 Sample Street,Downtown,Detached,1312400,1,2,4662,2010,20000,2024
T1341,441 Sample Street,Midtown,Semi-Detached,986638,2,3,4465,2011,20050,2024
T1342,442 Sample Street,North York,Townhouse,1240714,3,1,4732,2012,20100,2024
T1343,443 Sample Street,Etobicoke,Condo,1304557,4,2,4360,2013,20150,2024
T1344,444 Sample Street,Scarborough,Condo Townhouse,985326,1,3,4598,2014,20200,2024
T1345,445 Sample Street,The Beaches,Detached,1162323,2,1,4712,2015,20250,2024
T1346,446 Sample Street,Leslieville,Semi-Detached,1124708,3,2,4515,2016,20300,2024
T1347,447 Sample Street,King West,Townhouse,1100376,4,3,4782,2017,20350,2024
T1348,448 Sample Street,Liberty Village,Condo,978421,1,1,4410,2018,20400,2024
T1349,449 Sample Street,Corktown,Condo Townhouse,977026,2,2,4648,2019,20450,2024
T1350,450 Sample Street,Downtown,Detached,1322400,3,3,4762,1950,20500,2024
T1351,451 Sample Street,Midtown,Semi-Detached,996638,4,1,4565,1951,20550,2024
T1352,452 Sample Street,North York,Townhouse,1250714,1,2,4832,1952,20600,2024
T1353,453 Sample Street,Etobicoke,Condo,1314557,2,3,4460,1953,20650,2024
T1354,454 Sample Street,Scarborough,Condo Townhouse,995326,3,1,4698,1954,20700,2024
T1355,455 Sample Street,The Beaches,Detached,1172323,4,2,4812,1955,20750,2024
T1356,456 Sample Street,Leslieville,Semi-Detached,1134708,1,3,4615,1956,20800,2024
T1357,457 Sample Street,King West,Townhouse,1110376,2,1,4882,1957,20850,2024
T1358,458 Sample Street,Liberty Village,Condo,988421,3,2,4510,1958,20900,2024
T1359,459 Sample Street,Corktown,Condo Townhouse,987026,4,3,4748,1959,20950,2024
T1360,460 Sample Street,Downtown,Detached,1332400,1,1,4862,1960,21000,2024
T1361,461 Sample Street,Midtown,Semi-Detached,1006638,2,2,4665,1961,21050,2024
T1362,462 Sample Street,North York,Townhouse,1260714,3,3,4932,1962,21100,2024
T1363,463 Sample Street,Etobicoke,Condo,1324557,4,1,4560,1963,21150,2024
T1364,464 Sample Street,Scarborough,Condo Townhouse,1005326,1,2,4798,1964,21200,2024
T1365,465 Sample Street,The Beaches,Detached,1182323,2,3,4912,1965,21250,2024
T1366,466 Sample Street,Leslieville,Semi-Detached,1144708,3,1,4715,1966,21300,2024
T1367,467 Sample Street,King West,Townhouse,1120376,4,2,4982,1967,21350,2024
T1368,468 Sample Street,Liberty Village,Condo,998421,1,3,4610,1968,21400,2024
T1369,469 Sample Street,Corktown,Condo Townhouse,997026,2,1,4848,1969,21450,2024
T1370,470 Sample Street,Downtown,Detached,1342400,3,2,4962,1970,21500,2024
T1371,471 Sample Street,Midtown,Semi-Detached,1016638,4,3,4765,1971,21550,2024
T1372,472 Sample Street,North York,Townhouse,1270714,1,1,5032,1972,21600,2024
T1373,473 Sample Street,Etobicoke,Condo,1334557,2,2,4660,1973,21650,2024
T1374,474 Sample Street,Scarborough,Condo Townhouse,1015326,3,3,4898,1974,21700,2024
T1375,475 Sample Street,The Beaches,Detached,1192323,4,1,5012,1975,21750,2024
T1376,476 Sample Street,Leslieville,Semi-Detached,1154708,1,2,4815,1976,21800,2024
T1377,477 Sample Street,King West,Townhouse,1130376,2,3,5082,1977,21850,2024
T1378,478 Sample Street,Liberty Village,Condo,1008421,3,1,4710,1978,21900,2024
T1379,479 Sample Street,Corktown,Condo Townhouse,1007026,4,2,4948,1979,21950,2024
T1380,480 Sample Street,Downtown,Detached,1352400,1,3,5062,1980,22000,2024
T1381,481 Sample Street,Midtown,Semi-Detached,1026638,2,1,4865,1981,22050,2024
T1382,482 Sample Street,North York,Townhouse,1280714,3,2,5132,1982,22100,2024
T1383,483 Sample Street,Etobicoke,Condo,1344557,4,3,4760,1983,22150,2024
T1384,484 Sample Street,Scarborough,Condo Townhouse,1025326,1,1,4998,1984,22200,2024
T1385,485 Sample Street,The Beaches,Detached,1202323,2,2,5112,1985,22250,2024
T1386,486 Sample Street,Leslieville,Semi-Detached,1164708,3,3,4915,1986,22300,2024
T1387,487 Sample Street,King West,Townhouse,1140376,4,1,5182,1987,22350,2024
T1388,488 Sample Street,Liberty Village,Condo,1018421,1,2,4810,1988,22400,2024
T1389,489 Sample Street,Corktown,Condo Townhouse,1017026,2,3,5048,1989,22450,2024
T1390,490 Sample Street,Downtown,Detached,1362400,3,1,5162,1990,22500,2024
T1391,491 Sample Street,Midtown,Semi-Detached,1036638,4,2,4965,1991,22550,2024
T1392,492 Sample Street,North York,Townhouse,1290714,1,3,5232,1992,22600,2024
T1393,493 Sample Street,Etobicoke,Condo,1354557,2,1,4860,1993,22650,2024
T1394,494 Sample Street,Scarborough,Condo Townhouse,1035326,3,2,5098,1994,22700,2024
T1395,495 Sample Street,The Beaches,Detached,1212323,4,3,5212,1995,22750,2024
T1396,496 Sample Street,Leslieville,Semi-Detached,1174708,1,1,5015,1996,22800,2024
T1397,497 Sample Street,King West,Townhouse,1150376,2,2,5282,1997,22850,2024
T1398,498 Sample Street,Liberty Village,Condo,1028421,3,3,4910,1998,22900,2024
T1399,499 Sample Street,Corktown,Condo Townhouse,1027026,4,1,5148,1999,22950,2024
T1400,500 Sample Street,Downtown,Detached,1372400,1,2,5262,2000,23000,2024
T1401,501 Sample Street,Midtown,Semi-Detached,1046638,2,3,5065,2001,23050,2024
T1402,502 Sample Street,North York,Townhouse,1300714,3,1,5332,2002,23100,2024
T1403,503 Sample Street,Etobicoke,Condo,1364557,4,2,4960,2003,23150,2024
T1404,504 Sample Street,Scarborough,Condo Townhouse,1045326,1,3,5198,2004,23200,2024
T1405,505 Sample Street,The Beaches,Detached,1222323,2,1,5312,2005,23250,2024
T1406,506 Sample Street,Leslieville,Semi-Detached,1184708,3,2,5115,2006,23300,2024
T1407,507 Sample Street,King West,Townhouse,1160376,4,3,5382,2007,23350,2024
T1408,508 Sample Street,Liberty Village,Condo,1038421,1,1,5010,2008,23400,2024
T1409,509 Sample Street,Corktown,Condo Townhouse,1037026,2,2,5248,2009,23450,2024
T1410,510 Sample Street,Downtown,Detached,1382400,3,3,5362,2010,23500,2024
T1411,511 Sample Street,Midtown,Semi-Detached,1056638,4,1,5165,2011,23550,2024
T1412,512 Sample Street,North York,Townhouse,1310714,1,2,5432,2012,23600,2024
T1413,513 Sample Street,Etobicoke,Condo,1374557,2,3,5060,2013,23650,2024
T1414,514 Sample Street,Scarborough,Condo Townhouse,1055326,3,1,5298,2014,23700,2024
T1415,515 Sample Street,The Beaches,Detached,1232323,4,2,5412,2015,23750,2024
T1416,516 Sample Street,Leslieville,Semi-Detached,1194708,1,3,5215,2016,23800,2024
T1417,517 Sample Street,King West,Townhouse,1170376,2,1,5482,2017,23850,2024
T1418,518 Sample Street,Liberty Village,Condo,1048421,3,2,5110,2018,23900,2024
T1419,519 Sample Street,Corktown,Condo Townhouse,1047026,4,3,5348,2019,23950,2024
T1420,520 Sample Street,Downtown,Detached,1392400,1,1,5462,1950,24000,2024
T1421,521 Sample Street,Midtown,Semi-Detached,1066638,2,2,5265,1951,24050,2024
T1422,522 Sample Street,North York,Townhouse,1320714,3,3,5532,1952,24100,2024
T1423,523 Sample Street,Etobicoke,Condo,1384557,4,1,5160,1953,24150,2024
T1424,524 Sample Street,Scarborough,Condo Townhouse,1065326,1,2,5398,1954,24200,2024
T1425,525 Sample Street,The Beaches,Detached,1242323,2,3,5512,1955,24250,2024
T1426,526 Sample Street,Leslieville,Semi-Detached,1204708,3,1,5315,1956,24300,2024
T1427,527 Sample Street,King West,Townhouse,1180376,4,2,5582,1957,24350,2024
T1428,528 Sample Street,Liberty Village,Condo,1058421,1,3,5210,1958,24400,2024
T1429,529 Sample Street,Corktown,Condo Townhouse,1057026,2,1,5448,1959,24450,2024
T1430,530 Sample Street,Downtown,Detached,1402400,3,2,5562,1960,24500,2024
T1431,531 Sample Street,Midtown,Semi-Detached,1076638,4,3,5365,1961,24550,2024
T1432,532 Sample Street,North York,Townhouse,1330714,1,1,5632,1962,24600,2024
T1433,533 Sample Street,Etobicoke,Condo,1394557,2,2,5260,1963,24650,2024
T1434,534 Sample Street,Scarborough,Condo Townhouse,1075326,3,3,5498,1964,24700,2024
T1435,535 Sample Street,The Beaches,Detached,1252323,4,1,5612,1965,24750,2024
T1436,536 Sample Street,Leslieville,Semi-Detached,1214708,1,2,5415,1966,24800,2024
T1437,537 Sample Street,King West,Townhouse,1190376,2,3,5682,1967,24850,2024
T1438,538 Sample Street,Liberty Village,Condo,1068421,3,1,5310,1968,24900,2024
T1439,539 Sample Street,Corktown,Condo Townhouse,1067026,4,2,5548,1969,24950,2024
T1440,540 Sample Street,Downtown,Detached,1412400,1,3,5662,1970,25000,2024
T1441,541 Sample Street,Midtown,Semi-Detached,1086638,2,1,5465,1971,25050,2024
T1442,542 Sample Street,North York,Townhouse,1340714,3,2,5732,1972,25100,2024
T1443,543 Sample Street,Etobicoke,Condo,1404557,4,3,5360,1973,25150,2024
T1444,544 Sample Street,Scarborough,Condo Townhouse,1085326,1,1,5598,1974,25200,2024
T1445,545 Sample Street,The Beaches,Detached,1262323,2,2,5712,1975,25250,2024
T1446,546 Sample Street,Leslieville,Semi-Detached,1224708,3,3,5515,1976,25300,2024
T1447,547 Sample Street,King West,Townhouse,1200376,4,1,5782,1977,25350,2024
T1448,548 Sample Street,Liberty Village,Condo,1078421,1,2,5410,1978,25400,2024
T1449,549 Sample Street,Corktown,Condo Townhouse,1077026,2,3,5648,1979,25450,2024
T1450,550 Sample Street,Downtown,Detached,1422400,3,1,5762,1980,25500,2024
T1451,551 Sample Street,Midtown,Semi-Detached,1096638,4,2,5565,1981,25550,2024
T1452,552 Sample Street,North York,Townhouse,1350714,1,3,5832,1982,25600,2024
T1453,553 Sample Street,Etobicoke,Condo,1414557,2,1,5460,1983,25650,2024
T1454,554 Sample Street,Scarborough,Condo Townhouse,1095326,3,2,5698,1984,25700,2024
T1455,555 Sample Street,The Beaches,Detached,1272323,4,3,5812,1985,25750,2024
T1456,556 Sample Street,Leslieville,Semi-Detached,1234708,1,1,5615,1986,25800,2024
T1457,557 Sample Street,King West,Townhouse,1210376,2,2,5882,1987,25850,2024
T1458,558 Sample Street,Liberty Village,Condo,1088421,3,3,5510,1988,25900,2024
T1459,559 Sample Street,Corktown,Condo Townhouse,1087026,4,1,5748,1989,25950,2024
T1460,560 Sample Street,Downtown,Detached,1432400,1,2,5862,1990,26000,2024
T1461,561 Sample Street,Midtown,Semi-Detached,1106638,2,3,5665,1991,26050,2024
T1462,562 Sample Street,North York,Townhouse,1360714,3,1,5932,1992,26100,2024
T1463,563 Sample Street,Etobicoke,Condo,1424557,4,2,5560,1993,26150,2024
T1464,564 Sample Street,Scarborough,Condo Townhouse,1105326,1,3,5798,1994,26200,2024
T1465,565 Sample Street,The Beaches,Detached,1282323,2,1,5912,1995,26250,2024
T1466,566 Sample Street,Leslieville,Semi-Detached,1244708,3,2,5715,1996,26300,2024
T1467,567 Sample Street,King West,Townhouse,1220376,4,3,5982,1997,26350,2024
T1468,568 Sample Street,Liberty Village,Condo,1098421,1,1,5610,1998,26400,2024
T1469,569 Sample Street,Corktown,Condo Townhouse,1097026,2,2,5848,1999,26450,2024
T1470,570 Sample Street,Downtown,Detached,1442400,3,3,5962,2000,26500,2024
T1471,571 Sample Street,Midtown,Semi-Detached,1116638,4,1,5765,2001,26550,2024
T1472,572 Sample Street,North York,Townhouse,1370714,1,2,6032,2002,26600,2024
T1473,573 Sample Street,Etobicoke,Condo,1434557,2,3,5660,2003,26650,2024
T1474,574 Sample Street,Scarborough,Condo Townhouse,1115326,3,1,5898,2004,26700,2024
T1475,575 Sample Street,The Beaches,Detached,1292323,4,2,6012,2005,26750,2024
T1476,576 Sample Street,Leslieville,Semi-Detached,1254708,1,3,5815,2006,26800,2024
T1477,577 Sample Street,King West,Townhouse,1230376,2,1,6082,2007,26850,2024
T1478,578 Sample Street,Liberty Village,Condo,1108421,3,2,5710,2008,26900,2024
T1479,579 Sample Street,Corktown,Condo Townhouse,1107026,4,3,5948,2009,26950,2024
T1480,580 Sample Street,Downtown,Detached,1452400,1,1,6062,2010,27000,2024
T1481,581 Sample Street,Midtown,Semi-Detached,1126638,2,2,5865,2011,27050,2024
T1482,582 Sample Street,North York,Townhouse,1380714,3,3,6132,2012,27100,2024
T1483,583 Sample Street,Etobicoke,Condo,1444557,4,1,5760,2013,27150,2024
T1484,584 Sample Street,Scarborough,Condo Townhouse,1125326,1,2,5998,2014,27200,2024
T1485,585 Sample Street,The Beaches,Detached,1302323,2,3,6112,2015,27250,2024
T1486,586 Sample Street,Leslieville,Semi-Detached,1264708,3,1,5915,2016,27300,2024
T1487,587 Sample Street,King West,Townhouse,1240376,4,2,6182,2017,27350,2024
T1488,588 Sample Street,Liberty Village,Condo,1118421,1,3,5810,2018,27400,2024
T1489,589 Sample Street,Corktown,Condo Townhouse,1117026,2,1,6048,2019,27450,2024
T1490,590 Sample Street,Downtown,Detached,1462400,3,2,6162,1950,27500,2024
T1491,591 Sample Street,Midtown,Semi-Detached,1136638,4,3,5965,1951,27550,2024
T1492,592 Sample Street,North York,Townhouse,1390714,1,1,6232,1952,27600,2024
T1493,593 Sample Street,Etobicoke,Condo,1454557,2,2,5860,1953,27650,2024
T1494,594 Sample Street,Scarborough,Condo Townhouse,1135326,3,3,6098,1954,27700,2024
T1495,595 Sample Street,The Beaches,Detached,1312323,4,1,6212,1955,27750,2024
T1496,596 Sample Street,Leslieville,Semi-Detached,1274708,1,2,6015,1956,27800,2024
T1497,597 Sample Street,King West,Townhouse,1250376,2,3,6282,1957,27850,2024
T1498,598 Sample Street,Liberty Village,Condo,1128421,3,1,5910,1958,27900,2024
T1499,599 Sample Street,Corktown,Condo Townhouse,1127026,4,2,6148,1959,27950,2024
